id	C1	C2
RNF14	0.076370757306	0.076370757306
HIF3A	1.29543988057	0.0791993038729
UBE2Q2	0.0480852916371	0.0480852916371
RNF10	1.23604040267	0.0197998259682
RNF11	6.68818524759	1.23604040267
GPAA1	0.181026980281	0.181026980281
REM1	0.0141427328344	0.0141427328344
REM2	0.0141427328344	0.0141427328344
IMP4	1.32372534624	0.107484769542
C16orf11	0.00848563970067	0.00848563970067
RNF17	0.155570061179	0.155570061179
MZT2A	0.0282854656689	0.0282854656689
MZT2B	0.0339425588027	0.0339425588027
NDP	0.0169712794013	0.0169712794013
PMM2	1.23886894924	1.23886894924
UBE2F	0.132941688644	0.132941688644
PMM1	0.0933420367073	0.0933420367073
ASS1	0.121627502376	1.33786807908
MLLT11	0.00565709313378	1.22189766984
FHIT	0.076370757306	0.076370757306
ZNF709	0.0169712794013	0.0169712794013
ZNF708	0.0113141862676	1.22755476297
ZNF879	0.0282854656689	0.0282854656689
ZNF878	0.00565709313378	0.00565709313378
LRRTM4	0.0480852916371	0.0480852916371
CAMK1	0.0905134901404	0.0905134901404
ZNF701	0.0113141862676	0.0113141862676
ZNF700	2.45228097937	4.06991503737
ZNF707	0.197998259682	0.197998259682
CEACAM3	0.0226283725351	0.0226283725351
ZNF704	0.0650565710384	0.0650565710384
ABHD12B	0.0395996519364	0.0395996519364
AC092118.1	0.00848563970067	0.00848563970067
RNF114	4.49668514472	0.0226283725351
RNF115	0.025456919102	0.025456919102
ZC3H15	0.0537423847709	2.48622353817
ZC3H14	1.29261133401	4.94133306411
SPN	0.0169712794013	0.0169712794013
RNF111	0.050913838204	1.26715441491
IQCA1	0.076370757306	0.076370757306
ZC3H18	1.25301168207	0.0367711053696
GRIN1	0.050913838204	0.050913838204
AC145676.2	0.00282854656689	0.00282854656689
SP8	0.0141427328344	0.0141427328344
DHX9	11.4267579755	11.7983360891
CBX2	2.63524148962	3.1139530947
LRRTM3	0.0311140122358	0.0311140122358
NUP98	0.223455178784	11.5710138504
XPC	0.12728459551	2.55976574891
SP1	4.47733858507	5.14183924696
XPA	0.0424281985033	0.0424281985033
SP3	2.47208080534	5.71337898774
SP4	2.47773789847	0.0452567450702
SP5	0.0113141862676	0.0113141862676
SP6	0.00565709313378	0.00565709313378
CAMKV	5.02053236798	2.58805121458
TACSTD2	0.00282854656689	0.00282854656689
GOLIM4	0.0480852916371	0.0480852916371
OPA3	0.00848563970067	1.2247262164
OPA1	4.98093271605	1.33221098594
RAB40C	0.0169712794013	2.0420288851
RAB40B	0.0169712794013	0.0169712794013
RAB40A	0.0113141862676	0.0113141862676
AC016722.1	0.025456919102	0.025456919102
RP11-190A12.7	0.0	0.0
COL7A1	0.616623151582	0.616623151582
MDP1	0.0735422107391	0.0735422107391
GTSE1	0.0424281985033	6.12363108201
FAM183A	0.0480852916371	0.0480852916371
OVCH2	0.0791993038729	0.0791993038729
OVCH1	0.0791993038729	0.0791993038729
FAM183B	0.00565709313378	0.00565709313378
AKR1D1	0.0452567450702	0.0452567450702
PSAP	18.4408528213	16.1941607248
MYO3A	0.121627502376	0.121627502376
ITGA9	2.52865173668	1.31241115998
UGCG	1.27846860117	1.27846860117
MYO3B	0.0197998259682	0.0197998259682
RP4-559A3.7	0.0	0.0
ATP2A1	0.076370757306	0.076370757306
ATP2A2	5.06206554989	1.22755476297
ATP2A3	0.0197998259682	0.0197998259682
AL844853.1	0.0	0.0
GCG	0.0311140122358	0.0311140122358
ITGA2	0.189512619982	2.62199377338
ITGA3	1.31241115998	0.0961705832742
ITGA4	0.0933420367073	0.0933420367073
ITGA5	0.115970409242	0.115970409242
RIT1	0.0226283725351	0.0226283725351
ITGA7	2.52582319011	0.0933420367073
TRHR	0.0141427328344	0.0141427328344
DENND4A	0.0961705832742	0.0961705832742
DENND4B	0.166884247446	2.59936540085
RP11-303O9.2	0.0	0.0
ELL3	0.0735422107391	0.0735422107391
SWAP70	3.33464021911	1.30958261341
RARRES1	0.0339425588027	0.0339425588027
PHLDA1	0.0113141862676	1.22755476297
PHLDA3	5.2918127072	0.025456919102
