Gene_name 	 Ratio 	 Mean 
RNF14	0.0	-1.11707290283
HIF3A	4.03181050382	-0.49443068641
UBE2Q2	0.0	-1.31798774562
RNF10	5.96409434171	-0.805652980068
RNF11	2.43588890572	0.458670480208
GPAA1	0.0	-0.74225669301
REM1	0.0	-1.84946666266
REM2	0.0	-1.84946666266
IMP4	3.62239966363	-0.423427592858
C16orf11	0.0	-2.07131541227
RNF17	0.0	-0.808073977499
MZT2A	0.0	-1.54843666699
MZT2B	0.0	-1.46925542095
NDP	0.0	-1.77028541661
PMM2	0.0	0.0930253680128
UBE2F	0.0	-0.876338809057
PMM1	0.0	-1.02992272712
ASS1	-3.459394473	-0.394277459811
MLLT11	-7.75484683108	-1.08018591736
FHIT	0.0	-1.11707290283
ZNF709	0.0	-1.77028541661
ZNF708	-6.76151074878	-0.92866789997
ZNF879	0.0	-1.54843666699
ZNF878	0.0	-2.24740667133
LRRTM4	0.0	-1.31798774562
CAMK1	0.0	-1.04328668867
ZNF701	0.0	-1.94637667566
ZNF700	-0.730874386688	0.499577786358
ZNF707	0.0	-0.70333862698
CEACAM3	0.0	-1.64534668
ZNF704	0.0	-1.18670883098
ABHD12B	0.0	-1.40230863132
AC092118.1	0.0	-2.07131541227
RNF114	7.634585233	-0.496227100208
RNF115	0.0	-1.59419415755
ZC3H15	-5.53175186467	-0.437071446123
ZC3H14	-1.93461175527	0.402656043779
SPN	0.0	-1.77028541661
RNF111	-4.63739070209	-0.595167310419
IQCA1	0.0	-1.11707290283
ZC3H18	5.09068350923	-0.668269097331
GRIN1	0.0	-1.29316416189
AC145676.2	0.0	-2.54843666699
SP8	0.0	-1.84946666266
DHX9	-0.0461672746334	1.06487189614
CBX2	-0.240812038993	0.457066243001
LRRTM3	0.0	-1.50704398184
NUP98	-5.69438598753	0.206280918864
XPC	-4.32988205714	-0.243511964776
SP1	-0.19964308508	0.681069216338
XPA	0.0	-1.37234540794
SP3	-1.20861833029	0.574977847873
SP4	5.77474694566	-0.475130660332
SP5	0.0	-1.94637667566
SP6	0.0	-2.24740667133
CAMKV	0.955974186104	0.556861318823
TACSTD2	0.0	-2.54843666699
GOLIM4	0.0	-1.31798774562
OPA3	-7.17322013685	-0.991638198928
OPA1	1.90259333867	0.410941842945
RAB40C	-6.91076413512	-0.730111767797
RAB40B	0.0	-1.77028541661
RAB40A	0.0	-1.94637667566
AC016722.1	0.0	-1.59419415755
COL7A1	0.0	-0.209980173389
MDP1	0.0	-1.13346331902
GTSE1	-7.17322013685	-0.292668194592
FAM183A	0.0	-1.31798774562
OVCH2	0.0	-1.10127863565
OVCH1	0.0	-1.10127863565
FAM183B	0.0	-2.24740667133
AKR1D1	0.0	-1.34431668434
PSAP	0.187431675367	1.23756972349
MYO3A	0.0	-0.914968211415
ITGA9	0.946148585934	0.260479467078
UGCG	0.0	0.106690066343
MYO3B	0.0	-1.70333862698
ATP2A1	0.0	-1.11707290283
ATP2A2	2.04393880271	0.396684320182
ATP2A3	0.0	-1.70333862698
GCG	0.0	-1.50704398184
ITGA2	-3.79029843117	-0.151865104142
ITGA3	3.77048028774	-0.449443917617
ITGA4	0.0	-1.02992272712
ITGA5	0.0	-0.935652810276
RIT1	0.0	-1.64534668
ITGA7	4.75808289548	-0.313759890418
TRHR	0.0	-1.84946666266
DENND4A	0.0	-1.01695774995
DENND4B	-3.96123976495	-0.18135866072
ELL3	0.0	-1.13346331902
SWAP70	1.3484240414	0.320090942227
RARRES1	0.0	-1.46925542095
PHLDA1	-6.76151074878	-0.92866789997
PHLDA3	7.69956036199	-0.435294846362
